exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001325522,,805,9436,137045,170,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.809993402,,1939730,50703503,411495102,107412,467969,1506768,2059545,161134175,31333159,51221004,107099628,0,1034,0,0,12127,542715576,3,3139545584,4744530074,102793,103759,0
membench_pregen_init,1,dram,,,,0.868443189,,3277930,54015938,437111483,112314,206397,1618808,2142261,49688680,14430279,51894721,112891171,0,1041,0,0,12571,589257128,7,3368819328,5101540054,571143,578445,0
membench_base,1,pmem,,,,0.000895198,,762,9668,138449,175,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.971700850,,2141764,51775699,418011764,652254,644624,10249,2122326,46307220,12586361,50969325,105923644,0,1015,0,0,13667,544752855,1,3770979899,4754373492,98514,98428,4
membench_pregen_init,1,pmem,,,,1.027485831,,2031154,52970299,441663792,112264,205314,13239,2169448,47291672,12932529,52390961,109050945,0,1058,0,0,43051,587330186,2,3987314844,5022827843,574171,100989,4
membench,1,dram,seq,0,0.000000,1.316676160,0.000000,4274000,71700776,714336376,146220,279041,2113412,2815119,66965257,18739689,69560411,146501024,0,1392,0,0,16363,949624178,3,5108315881,8198717969,138690,140773,0
membench,1,dram,pgn,0,0.000000,1.314024788,0.000000,4306247,72380537,708956298,147111,274940,2075931,2832373,63838703,17012633,69542737,146550105,0,1411,0,0,16593,948800528,1,5098823859,8172970220,415035,746056,0
membench,1,dram,rnd,0,0.000000,1.315621545,0.000000,4294378,72391496,710738054,145379,278825,2023123,2784809,65382193,17732126,69417220,147244040,0,1402,0,0,18108,951441233,2,5109603323,8174558741,138861,540518,0
membench,1,dram,seq_prefetch,0,0.000000,1.317794605,0.000000,4267904,71946223,709636588,147029,277442,2057872,2802415,63220484,17039529,69560974,143157619,0,1409,0,0,17451,948843760,2,5110855406,8184374565,139529,334946,0
membench,1,dram,pgn_prefetch,0,0.000000,1.317964167,0.000000,4262742,72081849,714150908,145481,277487,2097004,2848783,64262487,17471562,69520913,146691995,0,1394,0,0,16824,947893559,2,5106258982,8157338428,139197,141260,0
membench,1,dram,rnd_prefetch,0,0.000000,1.314431208,0.000000,4263394,72191006,708947055,146591,275385,2054162,2804891,62149776,16692275,69506022,144381764,0,1412,0,0,17922,948375188,3,5105028010,8177013519,292001,747095,0
membench,1,pmem,seq,0,0.000000,1.555503542,0.000000,2716491,70134109,709171687,145336,283410,15082,2889355,65847021,18407835,69516671,145032474,0,1392,0,0,37577,954802435,1,6038102635,8108113437,563285,133457,9
membench,1,pmem,pgn,0,0.000000,1.544217256,0.000000,2662178,70628151,712622724,138763,283358,15198,2851859,64382687,18210498,69729561,149948082,0,4756,5166,0,38930,948093220,1,5994140864,8095285153,133434,134476,0
membench,1,pmem,rnd,0,0.000000,1.563910885,0.000000,2742197,70414376,708280136,146458,281232,16519,2923917,66163803,18930268,69500318,144646018,0,1395,0,0,19877,954215199,1,6070155637,8132992772,725944,728250,4
membench,1,pmem,seq_prefetch,0,0.000000,1.544625846,0.000000,2690105,70401873,711292347,145750,278143,15757,2866832,65857400,18254151,69321682,151417002,0,1860,5851,0,33634,944014091,2,5994772951,8139634455,136651,134449,4
membench,1,pmem,pgn_prefetch,0,0.000000,1.552011092,0.000000,2703638,71101731,706679327,143529,280417,16340,2868482,66782579,18250477,69202476,151435837,0,2310,4115,0,47380,953084909,4,6022243851,8140578538,138266,135808,4
membench,1,pmem,rnd_prefetch,0,0.000000,1.541910646,0.000000,2650972,70099503,713638178,145007,286886,16470,2853971,64938436,17985845,69323752,148784936,0,4092,5905,0,23720,942921876,1,5985192247,8100593306,133177,130027,0
membench,1,dram,seq,500,0.000000,1.316750313,0.000000,4287728,71691272,710178770,148750,278557,2085183,2823842,63260356,17054212,69532794,144199023,0,1381,0,0,15880,952239233,3,5107017676,8203716719,140153,237823,0
membench,1,dram,pgn,500,0.000000,1.313405390,0.000000,4286392,72685600,709194802,144684,272589,2038289,2841941,61179106,16865493,69275094,145177369,0,1389,0,0,15835,950878496,1,5099325325,8175663866,146561,704439,0
membench,1,dram,rnd,500,0.000000,1.314397731,0.000000,4257054,72608993,709298594,146049,281249,2042095,2805383,62639589,16910372,69455649,145143005,0,1379,0,0,15737,951195639,2,5094151332,8186157393,312253,705687,0
membench,1,dram,seq_prefetch,500,0.000000,1.318201342,0.000000,4291388,72339217,709843425,148514,278489,2062131,2831235,62773441,17035444,69659803,145572674,0,1383,0,0,17446,950869610,2,5108936423,8191431090,134740,373717,0
membench,1,dram,pgn_prefetch,500,0.000000,1.313571313,0.000000,4288778,72367193,708894330,143114,276079,2069201,2818505,63198319,17083863,69515864,146385469,0,1373,0,0,15891,950265045,3,5098478459,8176469534,139502,718735,0
membench,1,dram,rnd_prefetch,500,0.000000,1.325132952,0.000000,2587500,70897982,717203287,909119,1048971,2092353,2840944,67323174,18663781,69835798,150773679,0,1391,0,0,18308,950093428,5,5143649125,8175793469,141879,141392,0
membench,1,pmem,seq,500,0.000000,1.543537433,0.000000,2666417,70699471,711601526,140958,287410,15555,2845816,66323807,18353838,69115429,150982851,0,6890,9840,0,32108,943328120,3,5991556172,8154601240,138167,137978,4
membench,1,pmem,pgn,500,0.000000,1.556085249,0.000000,2729594,70317239,706912839,143743,282534,16012,2903183,65110441,18196491,69292384,144511895,0,1371,0,0,41438,947664072,1,6037858310,8135676753,251047,135043,0
membench,1,pmem,rnd,500,0.000000,1.548850441,0.000000,2704055,70587310,706756656,140912,281453,14965,2884251,64280113,17358628,69595994,145543507,0,3032,7370,0,41813,947673307,4,6002686084,8147871053,138709,136395,0
membench,1,pmem,seq_prefetch,500,0.000000,1.554426270,0.000000,2723792,70399683,715264281,149441,284717,16257,2925392,65814088,18247033,69701352,145035494,0,1359,0,0,43802,945077231,2,6026459156,8074826512,136355,136431,9
membench,1,pmem,pgn_prefetch,500,0.000000,1.551492878,0.000000,2691502,70555082,716915114,142920,282935,14839,2875189,65679394,18058369,69807304,148909242,0,1464,2407,0,46177,947109290,2,6023544889,8094801243,137222,137066,0
membench,1,pmem,rnd_prefetch,500,0.000000,1.553259646,0.000000,2738343,70806093,708023281,140631,275874,18132,2881088,65606454,17822510,69275676,147609366,0,1369,0,0,44524,956391647,2,6027221386,8183970178,182343,140388,0
membench,1,dram,seq,1000,0.000000,1.322392540,0.000000,4237618,71727053,715821820,782035,277889,2093410,2804020,64694340,18254169,69501343,148439284,0,1387,0,0,16819,949124267,0,5129249144,8141810771,135522,138931,0
membench,1,dram,pgn,1000,0.000000,1.319041979,0.000000,4277913,71555771,716624528,733810,273161,2133734,2875981,67994998,18713890,69458137,149526464,0,1389,0,0,15606,950007279,2,5118177130,8184752480,138406,138146,0
membench,1,dram,rnd,1000,0.000000,1.319136123,0.000000,4268011,71501875,715838638,677259,275049,2127435,2859987,67759254,18641485,69602827,148895697,0,1400,0,0,16992,950207451,1,5121256000,8187457530,138767,139049,0
membench,1,dram,seq_prefetch,1000,0.000000,1.319377345,0.000000,4265212,71513915,716947377,650494,281648,2140556,2849508,67154320,18918803,69382850,149480897,0,1395,0,0,16807,950350325,1,5115080330,8165701729,139172,141266,0
membench,1,dram,pgn_prefetch,1000,0.000000,1.319784167,0.000000,4270169,71446175,716802816,791040,280328,2128012,2853732,66620971,18782630,69570014,149755117,0,1407,0,0,15170,949964827,2,5120005047,8162402839,135650,137273,0
membench,1,dram,rnd_prefetch,1000,0.000000,1.321880073,0.000000,4022258,71498726,717600766,879022,382248,2137370,2866734,68771987,19215202,69425258,149551606,0,1387,0,0,15677,948527905,2,5123012585,8189020394,141657,140254,0
membench,1,pmem,seq,1000,0.000000,1.539007778,0.000000,2657164,70337717,716924151,147202,281077,16932,2858614,63038093,17317148,69506974,142831043,0,5392,7551,0,19202,944505189,1,5974255579,8094565872,137523,137257,0
membench,1,pmem,pgn,1000,0.000000,1.551810414,0.000000,2774427,71687322,704220113,141307,280149,15693,2882543,66656230,18244682,69107937,148686357,0,1357,2041,0,41069,967055432,2,6024077922,8197837701,143432,138188,4
