exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses
membench_base,1,dram,,,,0.014558515,,222,9814
membench_data_init,1,dram,,,,0.974230080,,2175168,51164009
membench_pregen_init,1,dram,,,,1.584273454,,2977260,70208488
membench_base,1,pmem,,,,0.000605703,,519,9639
membench_data_init,1,pmem,,,,2.008525067,,2175222,51221757
membench_pregen_init,1,pmem,,,,2.993426240,,2971317,70290258
membench,1,dram,seq,0,42175.050781,1.961168355,0.000016,13036465,80236469
membench,1,dram,pgn,0,9909.899414,2.715271392,0.000016,13589090,80902784
membench,1,dram,rnd,0,9595.492188,2.746261418,0.000016,12985426,80275114
membench,1,dram,seq_prefetch,0,38621.519531,1.962751026,0.000016,13069395,80228592
membench,1,dram,pgn_prefetch,0,20501.423828,2.190046339,0.000016,13472804,80895937
membench,1,dram,rnd_prefetch,0,17914.660156,2.261392193,0.000016,12819839,80262364
membench,1,pmem,seq,0,23695.671875,3.543268263,0.000016,13010215,80308348
membench,1,pmem,pgn,0,1967.639038,8.208317758,0.000016,13609782,81157754
membench,1,pmem,rnd,0,1964.318115,8.210721189,0.000016,12973025,80529448
membench,1,pmem,seq_prefetch,0,22187.609375,3.576641533,0.000016,13117553,80310548
membench,1,pmem,pgn_prefetch,0,3602.278320,5.902088202,0.000016,13462097,81070287
membench,1,pmem,rnd_prefetch,0,3531.980225,5.949941434,0.000016,12831360,80447071
membench,1,dram,seq,500,42938.359375,3.240648296,0.000146,13019122,80286980
membench,1,dram,pgn,500,9894.083984,4.017265456,0.000146,13616322,80961381
membench,1,dram,rnd,500,9560.009766,4.058202173,0.000147,12958426,80329976
membench,1,dram,seq_prefetch,500,39599.726562,3.255202401,0.000146,13188257,80238927
membench,1,dram,pgn_prefetch,500,38672.601562,3.262643673,0.000146,13449005,80947155
membench,1,dram,rnd_prefetch,500,27981.578125,3.368215861,0.000146,12836422,80321606
membench,1,pmem,seq,500,40909.667969,4.671465253,0.000146,13010915,80353889
membench,1,pmem,pgn,500,1942.780762,9.580163008,0.000146,13585265,81185901
membench,1,pmem,rnd,500,1859.937134,9.826566850,0.000147,12928376,80546431
