exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.001155436,,739,9530,136949,184,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.958630779,,3120458,51187668,1217479313,101924,196415,1461739,2025153,48705328,13159803,51073130,107491115,0,1044,0,0,13007,813024450,4,3719903794,6645085799,496156,502519,0
membench_pregen_init,1,dram,,,,1.018999339,,1958629,52430537,1299753856,107652,206377,1461077,2071059,48569642,13114402,52710574,111863290,0,3478,7603,0,26940,863764965,3,3944588815,7047873502,108870,109075,0
membench_base,1,pmem,,,,0.000739545,,797,9518,134526,179,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.123897762,,1956958,50946147,1216019953,105092,201219,11868,2092853,49328509,13623733,50725154,105114273,0,1047,0,0,13016,813186839,2,4362403831,6584459679,557071,563240,9
membench_pregen_init,1,pmem,,,,1.188122309,,1989029,52458940,1298613249,104300,209349,11296,2077099,49845259,14206426,52901853,113519672,0,3662,7178,0,20106,864820361,1,4609745509,7089104584,104183,105215,4
membench,1,dram,seq,0,42235.437500,1.932569161,0.000016,14603382,81853288,2568711139,148914,302569,2068908,2803877,73442165,24908565,79832302,152193678,0,7013,0,0,23082,1811096052,5,7503438049,13448025435,138070,137616,0
membench,1,dram,pgn,0,9837.330078,2.717424121,0.000016,14762591,80934749,2614422356,9783153,10002904,2004321,2776891,3153980070,3103758802,81516354,150168266,0,5455,0,0,26679,1794012336,4,10551431384,13330940684,10876446,10793930,0
membench,1,dram,rnd,0,9592.482422,2.745237791,0.000016,12748597,78541917,2620793401,10284310,10890784,1956084,2777914,3080864208,3031489384,81859793,154601543,0,4172,0,0,20584,1848904074,4,10655584647,13706534849,10394802,10391374,0
membench,1,dram,seq_prefetch,0,38717.968750,1.961022960,0.000016,13287525,79108700,2593147773,140092,287514,1972612,2726732,389130092,90350783,82747398,154733442,8679751,1559,0,0,20356,1810781386,6,7607770304,13533133910,136645,136687,0
membench,1,dram,pgn_prefetch,0,20545.355469,2.185964429,0.000016,13977496,81076739,2629528941,153934,292038,2090435,2788817,1195781177,1148320891,80595867,152691874,10102198,6938,0,0,33517,1808932650,1,8488664581,13477741247,719544,722351,0
membench,1,dram,rnd_prefetch,0,17919.220703,2.259203005,0.000016,12445803,79682969,2657930588,144391,281694,1956751,2737734,1341365208,1291740389,81243145,152194919,10042454,5352,1373,0,43604,1861212996,5,8771747383,13944725042,139761,138240,0
membench,1,pmem,seq,0,27764.357422,2.300977580,0.000016,12836227,79174620,2563259157,913153,1094176,16110,2856441,574413179,524331230,80563142,150616783,0,1393,0,0,27754,1813537487,2,8932680257,13489970699,135738,131461,1389
membench,1,pmem,pgn,0,2367.636719,6.164355714,0.000016,13307648,82459985,2629868692,874588,10847695,23684,2812895,15746124231,15706407689,80757922,149705679,0,1408,0,0,34957,1807440938,6,23952120363,13485238252,10124596,135876,9983513
membench,1,pmem,rnd,0,2356.780029,6.176446908,0.000016,12639188,80028672,2660540683,517530,10958322,22541,2823410,15684995815,15635667003,80379849,147094329,0,1384,0,0,46583,1867307702,7,23993351138,13888097928,10108756,129175,9972798
membench,1,pmem,seq_prefetch,0,27844.916016,2.299771629,0.000016,12830599,79186005,2576581285,907299,1086721,14733,2834167,475141109,415688918,80800615,149639951,10470069,1403,0,0,31614,1815287898,3,8926146009,13559271737,132105,127257,0
membench,1,pmem,pgn_prefetch,0,4495.771973,4.161370781,0.000016,13132557,80257792,2629818481,147556,304015,19350,2784257,8382377322,8054273860,83105050,146985365,10044201,1405,0,0,34458,1821919642,7,16164219319,13588538835,140584,135297,2439
membench,1,pmem,rnd_prefetch,0,4362.295410,4.213028157,0.000016,14055482,79945131,2651604066,152219,304274,19163,2831166,8131656282,8082278840,80807714,147067375,10025422,7163,0,0,47728,1878789230,8,16369241225,14049591456,651182,701361,371
membench,1,dram,seq,500,42900.410156,3.231126516,0.000146,12626937,79843765,2595075133,145055,330740,2006164,2797144,74211032,23349884,80568132,150021062,0,3787,0,0,10233836,6853269328,5,12540387017,33558188766,731723,133697,0
membench,1,dram,pgn,500,9901.097656,4.020016883,0.000146,13228484,79675416,2604032022,10008439,10199542,1986972,2750703,3195169638,3142503742,81655261,155024280,0,3276,0,0,10191215,6855800310,27,15612648120,33567478686,10343242,10177747,0
membench,1,dram,rnd,500,9472.558594,4.064377364,0.000146,12615779,77942319,2620710836,10241807,10883227,1964266,2799307,3205045170,3153675873,81792975,156179124,0,4615,0,0,10193014,6921461200,5,15780776144,33959513076,10231378,10226755,0
membench,1,dram,seq_prefetch,500,39811.453125,3.262422043,0.000147,12940825,80151610,2588519672,868261,1064733,1949406,2741193,80458315,26194372,81692670,156095421,9761789,4550,0,0,10265542,6913011505,22,12668457920,33827432490,139569,136279,0
membench,1,dram,pgn_prefetch,500,38818.371094,3.262082036,0.000146,13231545,81721949,2617317609,875430,1013104,2005532,2840500,236553766,187476177,82487366,152548774,9855841,3624,0,0,10275062,6917247643,3,12664061386,33884941758,138350,134120,0
membench,1,dram,rnd_prefetch,500,27954.433594,3.371048312,0.000147,12542924,78699591,2646908701,152447,278873,1947703,2735533,561001838,251459990,83911304,157049017,9734506,2971,0,0,10239959,6951622730,21,13085096606,34141397226,139397,135980,0
membench,1,pmem,seq,500,42031.289062,3.479902282,0.000146,12661608,79921429,2592700229,153029,343351,18210,2821435,93660333,42960167,80018720,142906454,0,1453,7135,0,10012675,6800298834,5,13511799891,33503845560,139758,133903,1463
membench,1,pmem,pgn,500,2352.534424,7.475351989,0.000146,14850271,82177324,2574289194,160563,10310532,24554,2796117,15828230294,15777738799,81645134,148136852,0,5562,0,0,10039765,6839890930,9,29048799885,33623244012,10093117,689713,9923532
membench,1,pmem,rnd,500,2331.482178,7.535844122,0.000147,12645446,80692585,2686752522,166480,10272267,23436,2815403,15893833925,15842068738,80286501,146401887,0,1379,8715,0,10110763,6879324065,9,29285238947,33981191834,10085052,135590,9942922
membench,1,pmem,seq_prefetch,500,34846.968750,3.512308516,0.000147,14398450,80891336,2577745869,147095,339498,17381,2836689,219309321,171672517,80593543,146731476,10023535,11149,0,0,10057245,6827210791,6,13636375976,33714883442,416905,685697,407
membench,1,pmem,pgn_prefetch,500,6292.929688,4.828515577,0.000146,14739985,81284012,2666264335,153780,302111,20681,2844444,5582693692,5532162843,80538084,144931927,10068644,1420,0,0,10102017,6843097387,7,18753101874,33700549139,750049,740164,1790
membench,1,pmem,rnd_prefetch,500,6033.058594,4.889732535,0.000146,12426602,80289778,2670466750,156749,294806,19696,2793982,5668668737,5619926579,80032049,151356960,10058626,1780,9114,0,10021285,6866713294,8,19000210834,34052281169,135704,130558,128
membench,1,dram,seq,1000,42956.800781,4.516429651,0.000275,12633314,80098738,2576976373,144362,291698,1997363,2818838,381289597,79636630,83726383,144949518,0,2335,0,0,10135454,11894729782,9,17537352534,53725654719,137139,136109,0
membench,1,dram,pgn,1000,9845.708008,5.314023873,0.000275,13222740,79523929,2584663019,10065159,10227556,1963995,2792114,3234610025,3224265815,84473661,155534876,0,1483,0,0,10120317,11896734986,32,20639191948,53732948519,10184094,10176092,0
membench,1,dram,rnd,1000,9447.803711,5.355171608,0.000275,14187807,78934028,2637646542,10038078,10198456,1928936,2766894,3241170515,3192333206,81583298,155306422,0,6309,0,0,10155354,11969520467,8,20798704126,54058609889,10739908,10724960,0
membench,1,dram,seq_prefetch,1000,39865.097656,4.549203580,0.000275,12792991,79560951,2600678373,156212,305293,1980248,2782512,77514477,25086439,81333517,154035270,9903621,4986,0,0,10165584,11883692627,23,17667748105,53678056088,615921,140679,0
membench,1,dram,pgn_prefetch,1000,43724.066406,4.524580443,0.000275,13121042,79421983,2612697276,159552,294420,1945605,2739382,132287986,102162829,84052530,155829026,9811425,4535,0,0,10147076,11915578874,28,17574790646,53872312037,140902,137071,0
membench,1,dram,rnd_prefetch,1000,30423.710938,4.629296414,0.000275,12469851,78437646,2645596778,153741,290836,1960376,2763063,130338613,79162043,81435563,154578175,9917262,1495,7278,0,10089879,11925041192,29,17980528958,54177305600,140219,134459,0
membench,1,pmem,seq,1000,42640.285156,4.765651503,0.000275,12718267,79383234,2590607376,876510,1047082,20977,2841924,83490003,32294396,80039791,147421712,0,1406,0,0,10085614,11854673355,7,18513892061,53716810756,141007,131828,1703
membench,1,pmem,pgn,1000,2359.552979,8.753024894,0.000275,13209341,80269377,2596376824,160542,10325148,26933,2795717,15805968307,15754440088,81053173,152838133,0,1485,3486,0,10044451,11828084412,12,34008033446,53666484574,10072584,133207,9935104
membench,1,pmem,rnd,1000,2347.025146,8.784964018,0.000275,13565857,81090471,2673957880,165285,10280602,26471,2847177,15759337061,15708145262,80619069,147257473,0,1405,0,0,10071802,11894287159,14,34143723450,53941007679,10626007,683485,9922734
membench,1,pmem,seq_prefetch,1000,36606.300781,4.802952342,0.000275,12827727,80357015,2630246695,155271,313412,21827,2824574,149276907,109413024,79324821,143540999,10086709,1447,5910,0,10010303,11816664434,4,18661495867,53612728482,141709,135667,8
membench,1,pmem,pgn_prefetch,1000,10955.482422,5.435951087,0.000275,13081462,81485843,2659225521,158034,306526,21707,2782082,2929560173,2880333171,80736610,147724811,10052138,1419,0,0,10092015,11837493041,13,21122195174,53600382736,707977,701164,1754
membench,1,pmem,rnd_prefetch,1000,10317.265625,5.485968675,0.000275,12444220,79119650,2637489999,150749,301577,21688,2788582,3151247528,2957306052,83185849,148703368,9967545,6845,0,0,10030437,11861428210,5,21317891038,54023813533,138382,136828,305
membench,1,dram,seq,1500,42907.957031,5.810512085,0.000404,13880221,80879963,2584259242,908039,458455,1981943,2825154,70562891,20663302,82214153,153792855,0,1722,0,0,10144129,16921711192,8,22572136415,73870557530,138747,136311,0
membench,1,dram,pgn,1500,9910.222656,6.597701802,0.000404,14824458,82462886,2613540794,10043192,10224835,1971188,2812858,3224218603,3169243331,82605754,154899728,0,4260,0,0,10131576,16930606290,41,25629661029,73849344366,10178473,10487350,0
membench,1,dram,rnd,1500,9391.293945,6.647636092,0.000404,12545452,79217544,2637963663,10049407,10228836,1958742,2799103,3270792065,3222265324,81852028,153979922,0,3961,7312,0,10104882,16946223136,5,25821030544,74131486242,10156918,10156694,0
membench,1,dram,seq_prefetch,1500,39979.050781,5.824375769,0.000404,12819867,79692451,2586804402,158986,1102560,2087348,2929020,69394141,19972060,81396681,146335920,9990501,2636,0,0,10121006,16909484553,11,22620901268,73805360894,130646,129146,0
membench,1,dram,pgn_prefetch,1500,46525.910156,5.798884354,0.000404,14674702,80354383,2622593373,154191,298261,1975111,2808609,72549417,23062252,82146152,155488340,9920412,5496,0,0,10136343,16961657872,9,22524650014,73989296850,567250,736235,0
membench,1,dram,rnd_prefetch,1500,31687.083984,5.891603499,0.000404,14045283,82479893,2679842101,151208,297649,2012747,2839416,72330522,21928721,81946393,149796349,10011990,3027,0,0,10137288,16991967885,9,22896243130,74288134188,137058,698689,0
membench,1,pmem,seq,1500,43013.527344,6.029973229,0.000404,12640667,79339637,2558228348,151160,301997,21547,2808954,72086420,22310516,80467609,147077969,0,5630,5227,0,10010884,16787294835,5,23430973019,73529986072,142087,134397,545
membench,1,pmem,pgn,1500,2398.232422,9.967264111,0.000404,13260611,80131314,2575997978,167436,10323594,37834,2853370,15794095030,15490089137,81403100,146099418,0,5556,0,0,10043497,16826399460,11,38738472524,73676719690,10078391,132380,9945249
membench,1,pmem,rnd,1500,2368.991211,10.027951933,0.000404,14221320,82478760,2650697070,169033,10315279,27638,2825035,15585688447,15533656231,81048456,153572395,0,1511,0,0,10444446,16887997640,8,38972610727,74005070956,10098729,539646,9937870
membench,1,pmem,seq_prefetch,1500,39126.996094,6.054167975,0.000404,13429232,79436156,2586342486,153959,306424,22117,2821130,95857040,44711812,80691915,145699926,10012616,5538,0,0,10056802,16846251484,8,23525699820,73525788945,692081,686907,292
membench,1,pmem,pgn_prefetch,1500,25889.230469,6.205931836,0.000403,13149441,80353511,2634664826,156830,317317,23016,2878115,749285147,699841699,80060953,145512073,10060244,1500,5566,0,10047778,16845862516,8,24114914574,73729587573,142534,133946,1874
membench,1,pmem,rnd_prefetch,1500,21128.515625,6.271430886,0.000404,12497158,77363100,2637279337,149104,298558,29902,2850930,1060439751,725137330,81574807,142625359,9980738,5553,0,0,10016887,16886689105,11,24370216511,74104519114,138634,134273,512
membench,1,dram,seq,2000,43082.093750,7.091437244,0.000532,12598709,80547617,2606434965,147712,303027,1997194,2755294,66372624,20654114,81113732,151202462,0,4661,7303,0,10093567,21871850359,9,27541615742,93725654515,135440,135429,0
membench,1,dram,pgn,2000,9844.157227,7.878034613,0.000532,13155547,80726914,2592721641,10056961,10231445,1939030,2838232,3235474572,3182625465,82964014,144794315,0,5386,7350,0,10097997,21915078546,10,30607328525,93797265267,10132879,10129179,0
membench,1,dram,rnd,2000,9510.277344,7.925905612,0.000533,12554503,80594195,2638075159,10778552,10958529,1972582,2795126,3238952293,3183251207,81977267,155417012,0,3973,0,0,10108912,21985757606,49,30795701850,94193471247,10155179,10147926,0
membench,1,dram,seq_prefetch,2000,40059.609375,7.116796348,0.000532,14415021,79780159,2610487141,144775,299058,2009283,2828038,70597434,20582198,81859724,151760798,9973521,4689,0,0,10127869,21946867462,9,27656585246,93861875268,737342,733710,0
membench,1,dram,pgn_prefetch,2000,46606.574219,7.087374544,0.000532,13084434,79459871,2603709192,162815,302113,1989461,2750207,79538600,26354288,81832239,154937662,9944758,2786,7314,0,10068625,21932881559,43,27535508156,93940935622,141943,135997,0
membench,1,dram,rnd_prefetch,2000,31689.492188,7.186111541,0.000533,12444122,80021631,2682670119,146423,296803,2009105,2789303,70075215,20568233,81555651,151827904,9995109,5356,4140,0,10095828,21918925972,10,27907462516,94192249167,135947,135781,0
membench,1,pmem,seq,2000,43154.414062,7.315443734,0.000532,12665391,79331063,2559686940,919226,1080932,23771,2840394,73054260,22891336,81103676,146105295,0,8245,0,0,10056805,21815761064,6,28430754075,93616556597,141947,132279,374
