exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000809996,,665,9354,30,9,
membench_data_init,1,dram,,,,1.169825576,,1358801,22068163,71297,69676,0
membench_pregen_init,1,dram,,,,1.875066914,,1935947,30097720,99879,99281,0
membench_base,1,pmem,,,,0.000687992,,480,9763,26,10,
membench_data_init,1,pmem,,,,2.292646527,,1417514,22671090,73668,2649,0
membench_pregen_init,1,pmem,,,,3.407291113,,1953481,31191528,94991,3564,0
membench_base,2,dram,,,,0.000660384,,435,9638,28,9,
membench_data_init,2,dram,,,,1.171923651,,1420658,22085588,70841,71493,0
membench_pregen_init,2,dram,,,,1.881221594,,1943551,29884925,96655,94909,0
membench_base,2,pmem,,,,0.000983814,,450,9987,33,11,
membench_data_init,2,pmem,,,,2.290126068,,1401097,22667998,71957,2576,0
membench_pregen_init,2,pmem,,,,3.405531039,,1932179,31270661,96220,9456,0
membench_base,3,dram,,,,0.001354709,,545,9321,33,16,
membench_data_init,3,dram,,,,1.172890289,,1420507,22096597,70021,70762,0
membench_pregen_init,3,dram,,,,1.879968311,,1971012,31051872,98111,97543,0
membench_base,3,pmem,,,,0.000690242,,376,9702,28,9,
membench_data_init,3,pmem,,,,2.292459956,,1403725,22671724,72366,2460,0
membench_pregen_init,3,pmem,,,,3.402103954,,1955290,31156006,96314,3405,0
membench_base,4,dram,,,,0.000664414,,492,9300,28,12,
membench_data_init,4,dram,,,,1.167390356,,1367192,22194735,70587,70621,0
membench_pregen_init,4,dram,,,,1.873430235,,1996209,31560530,97482,98144,0
membench_base,4,pmem,,,,0.001006966,,237,10541,39,21,0
membench_data_init,4,pmem,,,,2.292521246,,1440578,23431271,79364,8432,0
membench_pregen_init,4,pmem,,,,3.394796910,,1943569,31432205,97960,2177,0
membench_base,5,dram,,,,0.000672681,,461,9416,29,9,
membench_data_init,5,dram,,,,1.171914809,,1374508,22407445,71444,70574,0
membench_pregen_init,5,dram,,,,1.878607790,,1914028,30020653,97473,96231,0
membench_base,5,pmem,,,,0.000668204,,456,9577,28,11,
membench_data_init,5,pmem,,,,2.287810147,,1392783,22858987,74586,2526,0
membench_pregen_init,5,pmem,,,,3.387314645,,2048341,33324886,98258,3594,0
