exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000895483,,713,9582,138375,164,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.958428962,,3097346,50358707,1215909535,102753,196911,1419405,1974413,46972393,12986127,50640595,109744429,0,1033,0,0,12460,816795176,2,3720554609,6615603952,498124,501877,0
membench_pregen_init,1,dram,,,,1.019463744,,1982250,52714652,1299695345,101512,202311,1477910,2094218,49184201,13341783,52609721,110703485,0,5872,7209,0,30038,862609922,2,3950546933,7041977955,103777,103280,0
membench_base,1,pmem,,,,0.000709635,,776,9513,136474,177,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,1.116460807,,1923529,50407084,1219621965,103139,202117,11542,2045361,47116217,13250059,51354640,109870810,0,971,0,0,31131,809924190,1,4333782968,6632378690,508439,97779,4
membench_pregen_init,1,pmem,,,,1.183333590,,1983469,52283479,1305144171,105983,205695,11570,2080795,49068152,13631758,53629722,113090818,0,2603,727,0,27923,872770200,2,4591482021,7112321557,103377,97517,0
membench,1,dram,seq,0,42299.394531,1.570409932,0.000016,4251686,71170474,2069899165,142218,279665,1968439,2805832,65802504,19174571,71086908,143379538,0,1384,0,0,24792,1463819765,6,6097447079,11558273070,698382,704728,0
membench,1,dram,pgn,0,9819.130859,1.662105929,0.000016,5184642,71961278,2106544542,882537,1023927,1999624,2794719,303596578,255618902,71753677,152251327,0,5782,0,0,16013,1415808890,1,6448591780,11338675036,1971524,1842590,0
membench,1,dram,rnd,0,9426.314453,1.666112563,0.000016,5283255,73335551,2107271598,873187,1000672,1999652,2809708,295501282,247401275,72516076,153613253,0,6429,0,0,17428,1424454582,2,6465600851,11397226099,1571861,1941538,0
membench,1,dram,seq_prefetch,0,38352.382812,1.583598767,0.000016,5633571,72241815,2070761719,204312,283837,1982674,2778437,68231138,18389110,71897989,153325679,643041,6771,0,0,22958,1450317408,2,6149009504,11549108046,131173,130246,0
membench,1,dram,pgn_prefetch,0,20292.619141,1.605594437,0.000016,3971246,69787135,2070135476,138438,719822,1938606,2799877,205553571,41401893,72376779,154898095,612629,6586,0,0,29914,1447520063,2,6232845605,11564810460,133261,133357,0
membench,1,dram,rnd_prefetch,0,17646.021484,1.615054746,0.000016,3791920,69928021,2079025625,139490,270255,1928776,2705279,362677963,176068570,73646894,153490052,182734,5375,0,0,16452,1449931644,2,6273089368,11614076869,132809,130494,0
membench,1,pmem,seq,0,29722.980469,1.827350482,0.000016,2758369,71121597,2080722445,145832,298000,15405,2804630,130335621,84233036,71172996,143796439,0,1413,0,0,29614,1448219213,1,7092313931,11663637799,698357,699034,0
membench,1,pmem,pgn,0,2361.548340,2.222680429,0.000016,3760012,70618294,2087344647,143491,1257030,25931,2870620,1950938467,1643793542,71597239,147006696,0,1427,0,0,23576,1453453183,4,8619693570,11611812380,1140888,132898,1005957
membench,1,pmem,rnd,0,2341.816162,2.210842359,0.000016,3620724,70031376,2076101915,829651,2006790,18176,2955795,1633256460,1584470371,71673855,153211058,0,5707,0,0,44629,1468338161,3,8584945762,11775147399,1128968,131534,994192
membench,1,pmem,seq_prefetch,0,28113.578125,1.816296181,0.000016,2797004,70707793,2081530771,139178,277636,15485,2769209,147730646,94028658,71022893,148761141,1672679,3220,5117,0,50695,1461900002,3,7046771628,11822154661,133673,132462,13
membench,1,pmem,pgn_prefetch,0,4456.745117,2.009944884,0.000016,5161360,72143677,2120862560,148696,292724,15974,2791493,943486023,894731657,70915910,151739197,1094104,1408,0,0,43262,1448076186,2,7803393976,11655838748,720397,723709,570
membench,1,pmem,rnd_prefetch,0,4334.445801,2.012435725,0.000016,5136992,72152565,2102166646,145367,279904,14451,2837133,932421865,882458986,71094527,150323539,1066207,3821,0,0,31643,1457274000,4,7813122283,11690689205,695689,699237,358
membench,1,dram,seq,500,42936.882812,1.710100382,0.000146,3689694,70156551,2068857632,139371,277486,1971267,2734360,67591203,18660013,72699519,151705813,0,6696,0,0,1090211,1974276258,1,6638946470,13680154665,135803,133662,0
membench,1,dram,pgn,500,9783.491211,1.790534781,0.000146,3685945,69975335,2062924508,1167411,1304571,1909788,2710796,675422938,350219847,75341956,156028852,0,5961,0,0,1100173,1976953359,2,6952744957,13680343273,1213518,1210832,0
membench,1,dram,rnd,500,9429.424805,1.795724896,0.000146,3622565,69270875,2069961219,1164384,1288918,1908161,2720308,390827550,346286856,73395880,153615342,0,4239,0,0,1086586,1978818555,2,6974388369,13685619415,1196679,1195716,0
membench,1,dram,seq_prefetch,500,39717.214844,1.713902647,0.000146,3663109,70234068,2084596666,145593,286708,2004957,2700045,65897268,18644456,70078823,150221948,873183,3943,7382,0,1069103,1965037373,2,6646745337,13678042243,137350,137227,0
