run,node_type,access_type,throughput,cache_misses
1,dram,seq,56401,97668
1,dram,rnd,10340,137201937
1,dram,pgn,9943,138269846
1,dram,seq_prefetch,31959,272
1,dram,rnd_prefetch,17424,2361
1,dram,pgn_prefetch,16946,46215
1,pmem,seq,55679,370
1,pmem,rnd,2017,5781
1,pmem,pgn,1893,6347
1,pmem,seq_prefetch,31220,354
1,pmem,rnd_prefetch,3863,3940
1,pmem,pgn_prefetch,4613,3145
2,dram,seq,56529,87901
2,dram,rnd,6360,136184896
2,dram,pgn,6173,138036492
2,dram,seq_prefetch,31877,339
2,dram,rnd_prefetch,11321,1222
2,dram,pgn_prefetch,10943,30396
2,pmem,seq,56085,288
2,pmem,rnd,2355,5349
2,pmem,pgn,2012,5825
2,pmem,seq_prefetch,31515,184
2,pmem,rnd_prefetch,4653,3348
2,pmem,pgn_prefetch,4615,2949
3,dram,seq,56401,85381
3,dram,rnd,6216,136411596
3,dram,pgn,6060,137853034
3,dram,seq_prefetch,31857,253
3,dram,rnd_prefetch,11129,1839
3,dram,pgn_prefetch,17009,35456
3,pmem,seq,55959,180
3,pmem,rnd,2358,5349
3,pmem,pgn,2333,5127
3,pmem,seq_prefetch,31426,309
3,pmem,rnd_prefetch,4652,2863
3,pmem,pgn_prefetch,4614,2829
