run,node_type,access_type,throughput,cache_misses
1,dram,seq,95693,218122
1,dram,rnd,26123,97911628
1,dram,pgn,22266,98358775
1,dram,seq_prefetch,768,2505
1,dram,rnd_prefetch,765,3359
1,dram,pgn_prefetch,764,5512823
1,pmem,seq,40273,814
1,pmem,rnd,5986,1434
1,pmem,pgn,9669,1528
1,pmem,seq_prefetch,768,2278
1,pmem,rnd_prefetch,765,1283
1,pmem,pgn_prefetch,763,2011
2,dram,seq,97465,224765
2,dram,rnd,26413,97821822
2,dram,pgn,35435,98296247
2,dram,seq_prefetch,768,2199
2,dram,rnd_prefetch,765,3673
2,dram,pgn_prefetch,764,5677550
2,pmem,seq,40799,505
2,pmem,rnd,6009,1592
2,pmem,pgn,7918,2016
2,pmem,seq_prefetch,768,2778
2,pmem,rnd_prefetch,765,1114
2,pmem,pgn_prefetch,762,783
3,dram,seq,98039,320480
3,dram,rnd,16906,97788668
3,dram,pgn,35816,98304520
3,dram,seq_prefetch,768,2037
3,dram,rnd_prefetch,765,7387
3,dram,pgn_prefetch,764,5520561
3,pmem,seq,40241,457
3,pmem,rnd,7216,1381
3,pmem,pgn,7887,1716
3,pmem,seq_prefetch,767,2340
3,pmem,rnd_prefetch,766,3097
