exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,L1-dcache-loads,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,l1d.replacement,l1d_pend_miss.fb_full,sw_prefetch_access.nta,sw_prefetch_access.prefetchw,sw_prefetch_access.t0,sw_prefetch_access.t1_t2,branch-misses,branches,context-switches,cpu-cycles,instructions,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000927025,,976,10058,142566,245,1184,0,,,,,,,,,,,,,,,,,
membench_data_init,1,dram,,,,0.810126992,,1894919,51199043,412175075,113965,708065,1487396,2089455,44481346,12072807,50754792,108082626,0,1016,0,0,12675,544998852,3,3141140575,4706983084,103530,100298,0
membench_pregen_init,1,dram,,,,0.860315383,,2022070,53971791,437176734,113225,209644,1554916,2129120,46922850,12471220,52319175,108408120,0,1042,0,0,11077,589840099,2,3339822913,5070563475,547385,555393,0
membench_base,1,pmem,,,,0.000980285,,751,9656,137899,197,0,,,,,,,,,,,,,,,,,,
membench_data_init,1,pmem,,,,0.990898444,,1975472,50958008,412011883,103855,201570,17050,2095687,281492856,54858321,52227788,108555636,0,1035,0,0,13522,543811481,1,3845757087,4732755318,97658,94900,0
membench_pregen_init,1,pmem,,,,1.044789089,,3309867,53584238,434358013,110654,210942,12475,2206214,49863655,13945089,52259877,110874735,0,1044,0,0,14156,586520335,2,4055127232,5091036825,517632,522479,171
membench,1,dram,seq,0,51864.531250,1.357507480,0.000015,3272518,70919232,771222576,136473,261770,2003083,2683349,65223474,67743370,71542606,147645499,0,1421,0,0,17474,975293071,3,5258970254,8394612416,138522,136997,0
membench,1,dram,pgn,0,10521.111328,1.424365269,0.000015,3903504,69430962,743252490,1832745,2277872,2063258,2858714,316708106,269837397,71363809,147921742,0,1412,0,0,16145,994002756,1,5531600281,8417791343,950017,1078527,0
membench,1,dram,rnd,0,10270.420898,1.426775354,0.000015,3785294,69590319,743200891,1651715,2242404,2004433,2846834,379788809,277606103,71542512,147396176,0,1426,0,0,20807,995282828,2,5541580107,8473165075,922534,1022482,0
membench,1,dram,seq_prefetch,0,51276.789062,1.349062090,0.000015,4045624,70753000,781512822,138917,265254,1977267,2709012,370707929,76073399,72230370,148967068,0,1438,0,0,15726,975251917,1,5238076990,8366604786,138148,136572,0
