exec,run,node_kind,access_pattern,spinloop_iterations,throughput,seconds-time-elapsed,spinloop_duration,cache-misses,L1-dcache-load-misses,mem_load_retired.l3_miss,mem_load_l3_miss_retired.local_dram,mem_load_retired.local_pmm
membench_base,1,dram,,,,0.000924945,,548,9590,37,3,
membench_data_init,1,dram,,,,0.819482138,,2254429,51213093,213821,186410,0
membench_pregen_init,1,dram,,,,0.868131396,,2315100,52826681,229858,227488,0
membench_base,1,pmem,,,,0.000684561,,495,9642,28,12,
membench_data_init,1,pmem,,,,1.855344110,,2242021,51296196,161307,2721,0
membench_pregen_init,1,pmem,,,,1.946707185,,2081803,52991575,224450,3171,0
membench,1,dram,seq,0,51709.140625,4.292727230,0.000015,102237662,153342675,115941,226920,0
membench,1,dram,pgn,0,,1.977351727,,12733404,63729627,10130635,10045735,0
membench,1,dram,rnd,0,10303.485352,12.044452244,0.000015,100259522,153787458,96849807,96832595,0
membench,1,dram,seq_prefetch,0,51072.261719,4.303096917,0.000015,102811177,153309520,228649,223232,0
membench,1,dram,pgn_prefetch,0,,1.494570897,,12785849,63827751,111506,234191,0
membench,1,dram,rnd_prefetch,0,19919.318359,7.361033834,0.000015,100400853,153768125,237269,159506,0
membench,1,pmem,seq,0,24509.222656,7.519003951,0.000015,102170793,153576622,296812,3160,0
membench,1,pmem,pgn,0,,7.120372464,,12759085,64351218,10112257,3163,0
membench,1,pmem,rnd,0,1979.183594,53.933807589,0.000015,100652369,156180879,96854941,5011,0
membench,1,pmem,seq_prefetch,0,24721.511719,7.479017215,0.000015,102468336,153497873,229404,3020,0
membench,1,pmem,pgn_prefetch,0,,5.012431577,,12759542,63596219,206309,3103,0
membench,1,pmem,rnd_prefetch,0,3420.598633,32.656234322,0.000015,100420518,155086977,115170,5119,0
membench,1,dram,seq,2500,51480.847656,68.893353056,0.000661,102644927,157553467,175989,231911,0
membench,1,dram,pgn,2500,,8.437178932,,12770755,64228129,10179914,10053020,0
